KEY ÚNICA,Sistema,Char,Status,Worker,Status,Servidor,Mainchar:,Servidor do main:
82b9ed76-6f14-4b73-95ac-db23167127d294,aceitar,Paladino Criptonyano,Concluido,Worker-Aur,Processado,?,?,?
82b9ed76-6f14-4b73-95ac-db23167127d296,aceitar,Sagaz Tankanada,Concluido,Worker-Bellum,Processado,?,?,?
82b9ed76-6f14-4b73-95ac-db23167127d297,aceitar,Melajin,Concluido,Worker-Au,Processado,Auroria,Melandriel,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d298,aceitar,Toka terror,Concluido,Worker-Au,Processado,Auroria,Toka terror,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d299,aceitar,Toka terror bomba,Concluido,Worker-Au,Processado,Auroria,Toka terror,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d300,aceitar,Perfil violento ,Concluido,Worker-Au,Processado,Auroria,Toka terror,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d301,aceitar,War Dancer,Concluido,Worker-Au,Processado,Auroria,Boxxy,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d302,aceitar,Geladoo Dxdisso,Concluido,Worker-Au,Processado,Auroria,Healler Is Back,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d303,aceitar,Lord Puffy,Concluido,Worker-Au,Processado,Auroria,Zoe Fry,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d304,aceitar,Tiao du Gas,Concluido,Worker-Au,Processado,Auroria,Donkas Murro,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d305,aceitar,Iistorwo,Concluido,Worker-Au,Processado,Auroria,istorwo,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d306,invite,Zika Prime,Concluido,Worker-Bellum,Processado,Auroria,Liink,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d307,invite,Nosapatinho,Concluido,Worker-Auroria,Processado,Auroria,Vidaalz Tacafrecha,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d308,aceitar,Sra safada,Concluido,Worker-Au,Processado,Auroria,Er Rafazs,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d309,aceitar,DRUID HARDCORE ,Concluido,Worker-Au,Processado,Auroria,Heweliusz ,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d310,aceitar,Qtzflorasteiro,Concluido,Worker-Aur,Processado,Auroria,MAKERS PARA SER ACEITOS NOS SEGUINTES MUNDOS. - Google Planilhas,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d311,aceitar,billyzito Bombita,Concluido,Worker-Aur,Processado,Auroria,MAKERS PARA SER ACEITOS NOS SEGUINTES MUNDOS. - Google Planilhas,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d312,aceitar,Nahoa,Concluido,Worker-Aur,Processado,Auroria,MAKERS PARA SER ACEITOS NOS SEGUINTES MUNDOS. - Google Planilhas,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d313,aceitar,Galata Dynasty,Concluido,Worker-Aur,Processado,Auroria,MAKERS PARA SER ACEITOS NOS SEGUINTES MUNDOS. - Google Planilhas,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d314,aceitar,Oliveira Vampy,Concluido,Worker-Aur,Processado,Auroria,MAKERS PARA SER ACEITOS NOS SEGUINTES MUNDOS. - Google Planilhas,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d315,aceitar,Zoyo,Concluido,Worker-Aur,Processado,Auroria,MAKERS PARA SER ACEITOS NOS SEGUINTES MUNDOS. - Google Planilhas,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d316,aceitar,Nobretrocatiro panqmeuqueixo,Concluido,Worker-Aur,Processado,Auroria,MAKERS PARA SER ACEITOS NOS SEGUINTES MUNDOS. - Google Planilhas,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d317,aceitar,Kyozix,Concluido,Worker-Aur,Processado,Auroria,Kyozix,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d318,invite,Aang Ryomen,Concluido,Worker-Auroria,Processado,Auroria,Jafe,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d319,aceitar,Xoloxgaming,Concluido,Worker-Aur,Processado,Auroria,Saint Seraphim,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d320,aceitar,Alix,Concluido,Worker-Aur,Processado,Auroria,Arel Goldenoak,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d321,aceitar,Nobretrocatiro panqmeuqueixo,Concluido,Worker-Aur,Processado,Auroria,Braboerim on rubinot,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d322,aceitar,Rato Barata Camondongo,Concluido,Worker-Aur,Processado,Auroria,Don Matteo,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d323,aceitar,Chronos Ed,Concluido,Worker-Aur,Processado,Auroria,Drkzinhow,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d324,aceitar,Chronos Ed,Concluido,Worker-Aur,Processado,Auroria,Drkzinhow,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d325,invite,Zika Prime,Concluido,Worker-Auroria,Processado,Auroria,Liink,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d326,aceitar,Chronos Ed,Concluido,Worker-Auroria,Processado,Auroria,Drkzinhow,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d327,aceitar,Zika Prime,Concluido,Worker-Auroria,Processado,Auroria,Liink,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d328,aceitar,Mateeoo,Concluido,Worker-Auroria,Processado,Auroria,Lord Cuscuz,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d329,aceitar,Killboyz,Concluido,Worker-Auroria,Processado,Auroria,Evandreex,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d330,aceitar,Ai bossonaro,Concluido,Worker-Auroria,Processado,Auroria,Nubillal,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d331,aceitar,Sem ideia pra nome,Concluido,Worker-Auroria,Processado,Auroria,Manyac Sorcerer,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d332,aceitar,Elite Prime Knight,Concluido,Worker-Auroria,Processado,Auroria,Akaroth,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d333,aceitar,Iron Prickms,Concluido,Worker-Auroria,Processado,Auroria,Biitz,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d334,aceitar,Nordeste Jebcruzado,Concluido,Worker-Auroria,Processado,Auroria,Nordeste Jebcruzado,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d335,aceitar,Nordeste Sem Tempo,Concluido,Worker-Auroria,Processado,Auroria,Nordeste Jebcruzado,Auroria
